[2024-11-14 13:57:08] error: Redis is disconnected:  read ECONNRESET
[2024-11-14 13:57:26] error: Redis is disconnected:  getaddrinfo ENOTFOUND redis-19192.c245.us-east-1-3.ec2.redns.redis-cloud.com
[2024-11-14 13:57:27] error: Redis is disconnected:  getaddrinfo ENOTFOUND redis-19192.c245.us-east-1-3.ec2.redns.redis-cloud.com
[2024-11-14 13:57:27] error: Redis is disconnected:  getaddrinfo ENOTFOUND redis-19192.c245.us-east-1-3.ec2.redns.redis-cloud.com
[2024-11-14 13:57:27] error: Redis is disconnected:  getaddrinfo ENOTFOUND redis-19192.c245.us-east-1-3.ec2.redns.redis-cloud.com
[2024-11-14 13:57:27] error: Redis is disconnected:  getaddrinfo ENOTFOUND redis-19192.c245.us-east-1-3.ec2.redns.redis-cloud.com
[2024-11-14 13:57:27] error: Redis is disconnected:  getaddrinfo ENOTFOUND redis-19192.c245.us-east-1-3.ec2.redns.redis-cloud.com
[2024-11-14 13:57:28] error: Redis is disconnected:  getaddrinfo ENOTFOUND redis-19192.c245.us-east-1-3.ec2.redns.redis-cloud.com
[2024-11-14 13:57:28] error: Redis is disconnected:  getaddrinfo ENOTFOUND redis-19192.c245.us-east-1-3.ec2.redns.redis-cloud.com
[2024-11-14 13:57:28] error: Redis is disconnected:  getaddrinfo ENOTFOUND redis-19192.c245.us-east-1-3.ec2.redns.redis-cloud.com
[2024-11-14 13:57:29] error: Redis is disconnected:  getaddrinfo ENOTFOUND redis-19192.c245.us-east-1-3.ec2.redns.redis-cloud.com
[2024-11-14 13:57:29] error: Redis is disconnected:  getaddrinfo ENOTFOUND redis-19192.c245.us-east-1-3.ec2.redns.redis-cloud.com
[2024-11-14 13:57:30] error: Redis is disconnected:  getaddrinfo ENOTFOUND redis-19192.c245.us-east-1-3.ec2.redns.redis-cloud.com
[2024-11-14 13:57:30] error: Redis is disconnected:  getaddrinfo ENOTFOUND redis-19192.c245.us-east-1-3.ec2.redns.redis-cloud.com
[2024-11-14 13:57:31] error: Redis is disconnected:  getaddrinfo ENOTFOUND redis-19192.c245.us-east-1-3.ec2.redns.redis-cloud.com
[2024-11-14 13:57:31] error: Redis is disconnected:  getaddrinfo ENOTFOUND redis-19192.c245.us-east-1-3.ec2.redns.redis-cloud.com
[2024-11-14 13:57:32] error: Redis is disconnected:  getaddrinfo ENOTFOUND redis-19192.c245.us-east-1-3.ec2.redns.redis-cloud.com
[2024-11-14 13:57:37] error: Redis is disconnected:  getaddrinfo ENOTFOUND redis-19192.c245.us-east-1-3.ec2.redns.redis-cloud.com
[2024-11-14 13:58:05] error: Redis is disconnected:  getaddrinfo ENOTFOUND redis-19192.c245.us-east-1-3.ec2.redns.redis-cloud.com
[2024-11-14 13:58:05] error: Redis is disconnected:  getaddrinfo ENOTFOUND redis-19192.c245.us-east-1-3.ec2.redns.redis-cloud.com
[2024-11-14 13:58:06] error: Redis is disconnected:  getaddrinfo ENOTFOUND redis-19192.c245.us-east-1-3.ec2.redns.redis-cloud.com
[2024-11-14 13:58:06] error: Redis is disconnected:  getaddrinfo ENOTFOUND redis-19192.c245.us-east-1-3.ec2.redns.redis-cloud.com
[2024-11-14 13:58:07] error: Redis is disconnected:  getaddrinfo ENOTFOUND redis-19192.c245.us-east-1-3.ec2.redns.redis-cloud.com
[2024-11-14 13:58:07] error: Redis is disconnected:  getaddrinfo ENOTFOUND redis-19192.c245.us-east-1-3.ec2.redns.redis-cloud.com
[2024-11-14 13:58:08] error: Redis is disconnected:  getaddrinfo ENOTFOUND redis-19192.c245.us-east-1-3.ec2.redns.redis-cloud.com
[2024-11-14 13:58:08] error: Redis is disconnected:  getaddrinfo ENOTFOUND redis-19192.c245.us-east-1-3.ec2.redns.redis-cloud.com
[2024-11-14 13:58:09] error: Redis is disconnected:  getaddrinfo ENOTFOUND redis-19192.c245.us-east-1-3.ec2.redns.redis-cloud.com
